"Notes"	"Year"	"Year Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"2009"	"2009"	"Ohio"	"39"	65971
	"2009"	"2009"	"Oklahoma"	"40"	19522
	"2009"	"2009"	"Oregon"	"41"	20687
	"2009"	"2009"	"Pennsylvania"	"42"	80784
	"2009"	"2009"	"Rhode Island"	"44"	6493
	"2009"	"2009"	"South Carolina"	"45"	24877
	"2009"	"2009"	"South Dakota"	"46"	4415
	"2009"	"2009"	"Tennessee"	"47"	35183
	"2009"	"2009"	"Texas"	"48"	104556
	"2009"	"2009"	"Utah"	"49"	9411
	"2009"	"2009"	"Vermont"	"50"	3899
	"2009"	"2009"	"Virginia"	"51"	39630
	"2009"	"2009"	"Washington"	"53"	35707
	"2009"	"2009"	"West Virginia"	"54"	11707
	"2009"	"2009"	"Wisconsin"	"55"	31442
	"2009"	"2009"	"Wyoming"	"56"	2607
	"2009"	"2009"	"Puerto Rico"	"72"	14207
	"2010"	"2010"	"Alabama"	"01"	26133
	"2010"	"2010"	"Alaska"	"02"	2903
	"2010"	"2010"	"Arizona"	"04"	29283
	"2010"	"2010"	"Arkansas"	"05"	15691
	"2010"	"2010"	"California"	"06"	167469
	"2010"	"2010"	"Colorado"	"08"	22278
	"2010"	"2010"	"Connecticut"	"09"	21870
	"2010"	"2010"	"Delaware"	"10"	5528
	"2010"	"2010"	"District of Columbia"	"11"	3109
	"2010"	"2010"	"Florida"	"12"	115214
	"2010"	"2010"	"Georgia"	"13"	44847
	"2010"	"2010"	"Hawaii"	"15"	7012
	"2010"	"2010"	"Idaho"	"16"	7670
	"2010"	"2010"	"Illinois"	"17"	67907
	"2010"	"2010"	"Indiana"	"18"	33839
	"2010"	"2010"	"Iowa"	"19"	18094
	"2010"	"2010"	"Kansas"	"20"	14798
	"2010"	"2010"	"Kentucky"	"21"	26181
	"2010"	"2010"	"Louisiana"	"22"	24363
	"2010"	"2010"	"Maine"	"23"	8693
	"2010"	"2010"	"Maryland"	"24"	30141
	"2010"	"2010"	"Massachusetts"	"25"	37460
	"2010"	"2010"	"Michigan"	"26"	57297
	"2010"	"2010"	"Minnesota"	"27"	28231
	"2010"	"2010"	"Mississippi"	"28"	15942
	"2010"	"2010"	"Missouri"	"29"	32477
	"2010"	"2010"	"Montana"	"30"	5823
	"2010"	"2010"	"Nebraska"	"31"	9641
	"2010"	"2010"	"Nevada"	"32"	12209
	"2010"	"2010"	"New Hampshire"	"33"	8058
	"2010"	"2010"	"New Jersey"	"34"	51452
	"2010"	"2010"	"New Mexico"	"35"	9304
	"2010"	"2010"	"New York"	"36"	111723
	"2010"	"2010"	"North Carolina"	"37"	51722
	"2010"	"2010"	"North Dakota"	"38"	3732
	"2010"	"2010"	"Ohio"	"39"	63783
	"2010"	"2010"	"Oklahoma"	"40"	19183
	"2010"	"2010"	"Oregon"	"41"	20509
	"2010"	"2010"	"Pennsylvania"	"42"	81151
	"2010"	"2010"	"Rhode Island"	"44"	6070
	"2010"	"2010"	"South Carolina"	"45"	25693
	"2010"	"2010"	"South Dakota"	"46"	4368
	"2010"	"2010"	"Tennessee"	"47"	35059
	"2010"	"2010"	"Texas"	"48"	103166
	"2010"	"2010"	"Utah"	"49"	9805
	"2010"	"2010"	"Vermont"	"50"	3826
	"2010"	"2010"	"Virginia"	"51"	38099
	"2010"	"2010"	"Washington"	"53"	35821
	"2010"	"2010"	"West Virginia"	"54"	11567
	"2010"	"2010"	"Wisconsin"	"55"	31783
	"2010"	"2010"	"Wyoming"	"56"	2710
	"2010"	"2010"	"Puerto Rico"	"72"	14905
	"2011"	"2011"	"Alabama"	"01"	26026
	"2011"	"2011"	"Alaska"	"02"	2840
	"2011"	"2011"	"Arizona"	"04"	30152
	"2011"	"2011"	"Arkansas"	"05"	15655
	"2011"	"2011"	"California"	"06"	167813
	"2011"	"2011"	"Colorado"	"08"	22672
	"2011"	"2011"	"Connecticut"	"09"	21760
	"2011"	"2011"	"Delaware"	"10"	5742
	"2011"	"2011"	"District of Columbia"	"11"	3326
	"2011"	"2011"	"Florida"	"12"	116540
	"2011"	"2011"	"Georgia"	"13"	46866
	"2011"	"2011"	"Hawaii"	"15"	7084
	"2011"	"2011"	"Idaho"	"16"	7811
	"2011"	"2011"	"Illinois"	"17"	69330
	"2011"	"2011"	"Indiana"	"18"	34077
	"2011"	"2011"	"Iowa"	"19"	18137
	"2011"	"2011"	"Kansas"	"20"	15509
	"2011"	"2011"	"Kentucky"	"21"	26421
	"2011"	"2011"	"Louisiana"	"22"	24944
	"2011"	"2011"	"Maine"	"23"	8633
	"2011"	"2011"	"Maryland"	"24"	30213
	"2011"	"2011"	"Massachusetts"	"25"	38879
	"2011"	"2011"	"Michigan"	"26"	58036
	"2011"	"2011"	"Minnesota"	"27"	29049
	"2011"	"2011"	"Mississippi"	"28"	15840
	"2011"	"2011"	"Missouri"	"29"	33560
	"2011"	"2011"	"Montana"	"30"	5918
	"2011"	"2011"	"Nebraska"	"31"	9693
	"2011"	"2011"	"Nevada"	"32"	12568
	"2011"	"2011"	"New Hampshire"	"33"	8365
	"2011"	"2011"	"New Jersey"	"34"	52327
	"2011"	"2011"	"New Mexico"	"35"	9171
	"2011"	"2011"	"New York"	"36"	115875
	"2011"	"2011"	"North Carolina"	"37"	52767
	"2011"	"2011"	"North Dakota"	"38"	3850
	"2011"	"2011"	"Ohio"	"39"	65542
	"2011"	"2011"	"Oklahoma"	"40"	19493
	"2011"	"2011"	"Oregon"	"41"	21445
	"2011"	"2011"	"Pennsylvania"	"42"	82803
	"2011"	"2011"	"Rhode Island"	"44"	6180
	"2011"	"2011"	"South Carolina"	"45"	25896
	"2011"	"2011"	"South Dakota"	"46"	4678
	"2011"	"2011"	"Tennessee"	"47"	35624
	"2011"	"2011"	"Texas"	"48"	104377
	"2011"	"2011"	"Utah"	"49"	10038
	"2011"	"2011"	"Vermont"	"50"	3791
	"2011"	"2011"	"Virginia"	"51"	39247
	"2011"	"2011"	"Washington"	"53"	36495
	"2011"	"2011"	"West Virginia"	"54"	11976
	"2011"	"2011"	"Wisconsin"	"55"	32808
	"2011"	"2011"	"Wyoming"	"56"	2761
	"2011"	"2011"	"Puerto Rico"	"72"	15661
	"2012"	"2012"	"Alabama"	"01"	26292
	"2012"	"2012"	"Alaska"	"02"	2761
	"2012"	"2012"	"Arizona"	"04"	29911
	"2012"	"2012"	"Arkansas"	"05"	16106
	"2012"	"2012"	"California"	"06"	167999
	"2012"	"2012"	"Colorado"	"08"	22881
	"2012"	"2012"	"Connecticut"	"09"	21744
	"2012"	"2012"	"Delaware"	"10"	5793
	"2012"	"2012"	"District of Columbia"	"11"	3219
	"2012"	"2012"	"Florida"	"12"	116426
	"2012"	"2012"	"Georgia"	"13"	48196
	"2012"	"2012"	"Hawaii"	"15"	7144
	"2012"	"2012"	"Idaho"	"16"	7778
	"2012"	"2012"	"Illinois"	"17"	68317
	"2012"	"2012"	"Indiana"	"18"	34007
	"2012"	"2012"	"Iowa"	"19"	17761
	"2012"	"2012"	"Kansas"	"20"	15427
	"2012"	"2012"	"Kentucky"	"21"	27047
	"2012"	"2012"	"Louisiana"	"22"	25003
	"2012"	"2012"	"Maine"	"23"	8821
	"2012"	"2012"	"Maryland"	"24"	30277
	"2012"	"2012"	"Massachusetts"	"25"	38263
	"2012"	"2012"	"Michigan"	"26"	56078
	"2012"	"2012"	"Minnesota"	"27"	28932
	"2012"	"2012"	"Mississippi"	"28"	15881
	"2012"	"2012"	"Missouri"	"29"	33697
	"2012"	"2012"	"Montana"	"30"	5729
	"2012"	"2012"	"Nebraska"	"31"	9558
	"2012"	"2012"	"Nevada"	"32"	12316
	"2012"	"2012"	"New Hampshire"	"33"	8177
	"2012"	"2012"	"New Jersey"	"34"	51933
	"2012"	"2012"	"New Mexico"	"35"	9147
	"2012"	"2012"	"New York"	"36"	112732
	"2012"	"2012"	"North Carolina"	"37"	52174
	"2012"	"2012"	"North Dakota"	"38"	3867
	"2012"	"2012"	"Ohio"	"39"	64114
	"2012"	"2012"	"Oklahoma"	"40"	19676
	"2012"	"2012"	"Oregon"	"41"	21049
	"2012"	"2012"	"Pennsylvania"	"42"	80313
	"2012"	"2012"	"Rhode Island"	"44"	6489
	"2012"	"2012"	"South Carolina"	"45"	26673
	"2012"	"2012"	"South Dakota"	"46"	4476
	"2012"	"2012"	"Tennessee"	"47"	35818
	"2012"	"2012"	"Texas"	"48"	106059
	"2012"	"2012"	"Utah"	"49"	10058
	"2012"	"2012"	"Vermont"	"50"	3770
	"2012"	"2012"	"Virginia"	"51"	38873
	"2012"	"2012"	"Washington"	"53"	36383
	"2012"	"2012"	"West Virginia"	"54"	11766
	"2012"	"2012"	"Wisconsin"	"55"	32277
	"2012"	"2012"	"Wyoming"	"56"	2611
	"2012"	"2012"	"Puerto Rico"	"72"	15976
	"2013"	"2013"	"Alabama"	"01"	26413
	"2013"	"2013"	"Alaska"	"02"	2816
	"2013"	"2013"	"Arizona"	"04"	30342
	"2013"	"2013"	"Arkansas"	"05"	16663
	"2013"	"2013"	"California"	"06"	169449
	"2013"	"2013"	"Colorado"	"08"	23159
	"2013"	"2013"	"Connecticut"	"09"	21757
	"2013"	"2013"	"Delaware"	"10"	6007
	"2013"	"2013"	"District of Columbia"	"11"	2998
	"2013"	"2013"	"Florida"	"12"	116406
	"2013"	"2013"	"Georgia"	"13"	48702
	"2013"	"2013"	"Hawaii"	"15"	7360
	"2013"	"2013"	"Idaho"	"16"	7675
	"2013"	"2013"	"Illinois"	"17"	68811
	"2013"	"2013"	"Indiana"	"18"	34417
	"2013"	"2013"	"Iowa"	"19"	17751
	"2013"	"2013"	"Kansas"	"20"	15344
	"2013"	"2013"	"Kentucky"	"21"	27204
	"2013"	"2013"	"Louisiana"	"22"	25031
	"2013"	"2013"	"Maine"	"23"	8744
	"2013"	"2013"	"Maryland"	"24"	31704
	"2013"	"2013"	"Massachusetts"	"25"	37974
	"2013"	"2013"	"Michigan"	"26"	55742
	"2013"	"2013"	"Minnesota"	"27"	28986
	"2013"	"2013"	"Mississippi"	"28"	16173
	"2013"	"2013"	"Missouri"	"29"	33232
	"2013"	"2013"	"Montana"	"30"	5878
	"2013"	"2013"	"Nebraska"	"31"	9794
	"2013"	"2013"	"Nevada"	"32"	12585
	"2013"	"2013"	"New Hampshire"	"33"	8409
	"2013"	"2013"	"New Jersey"	"34"	52918
	"2013"	"2013"	"New Mexico"	"35"	9262
	"2013"	"2013"	"New York"	"36"	116391
	"2013"	"2013"	"North Carolina"	"37"	54124
	"2013"	"2013"	"North Dakota"	"38"	3707
	"2013"	"2013"	"Ohio"	"39"	65897
	"2013"	"2013"	"Oklahoma"	"40"	19843
	"2013"	"2013"	"Oregon"	"41"	21730
	"2013"	"2013"	"Pennsylvania"	"42"	81897
	"2013"	"2013"	"Rhode Island"	"44"	6479
	"2013"	"2013"	"South Carolina"	"45"	26808
	"2013"	"2013"	"South Dakota"	"46"	4690
	"2013"	"2013"	"Tennessee"	"47"	35972
	"2013"	"2013"	"Texas"	"48"	108212
	"2013"	"2013"	"Utah"	"49"	10090
	"2013"	"2013"	"Vermont"	"50"	3708
	"2013"	"2013"	"Virginia"	"51"	40592
	"2013"	"2013"	"Washington"	"53"	36628
	"2013"	"2013"	"West Virginia"	"54"	11914
	"2013"	"2013"	"Wisconsin"	"55"	32775
	"2013"	"2013"	"Wyoming"	"56"	2605
	"2013"	"2013"	"Puerto Rico"	"72"	16326
	"2014"	"2014"	"Alabama"	"01"	26279
	"2014"	"2014"	"Alaska"	"02"	2822
	"2014"	"2014"	"Arizona"	"04"	31644
	"2014"	"2014"	"Arkansas"	"05"	16951
	"2014"	"2014"	"California"	"06"	171495
	"2014"	"2014"	"Colorado"	"08"	23538
	"2014"	"2014"	"Connecticut"	"09"	21531
	"2014"	"2014"	"Delaware"	"10"	5945
	"2014"	"2014"	"District of Columbia"	"11"	3013
	"2014"	"2014"	"Florida"	"12"	116930
	"2014"	"2014"	"Georgia"	"13"	50397
	"2014"	"2014"	"Hawaii"	"15"	7300
	"2014"	"2014"	"Idaho"	"16"	8117
	"2014"	"2014"	"Illinois"	"17"	70118
	"2014"	"2014"	"Indiana"	"18"	34949
	"2014"	"2014"	"Iowa"	"19"	18450
	"2014"	"2014"	"Kansas"	"20"	15200
	"2014"	"2014"	"Kentucky"	"21"	27762
	"2014"	"2014"	"Louisiana"	"22"	25515
	"2014"	"2014"	"Maine"	"23"	9013
	"2014"	"2014"	"Maryland"	"24"	31528
	"2014"	"2014"	"Massachusetts"	"25"	38359
	"2014"	"2014"	"Michigan"	"26"	55773
	"2014"	"2014"	"Minnesota"	"27"	29546
	"2014"	"2014"	"Mississippi"	"28"	16426
	"2014"	"2014"	"Missouri"	"29"	34001
	"2014"	"2014"	"Montana"	"30"	5880
	"2014"	"2014"	"Nebraska"	"31"	9831
	"2014"	"2014"	"Nevada"	"32"	12402
	"2014"	"2014"	"New Hampshire"	"33"	8380
	"2014"	"2014"	"New Jersey"	"34"	52495
	"2014"	"2014"	"New Mexico"	"35"	9421
	"2014"	"2014"	"New York"	"36"	115533
	"2014"	"2014"	"North Carolina"	"37"	55113
	"2014"	"2014"	"North Dakota"	"38"	3774
	"2014"	"2014"	"Ohio"	"39"	66724
	"2014"	"2014"	"Oklahoma"	"40"	20213
	"2014"	"2014"	"Oregon"	"41"	21412
	"2014"	"2014"	"Pennsylvania"	"42"	80898
	"2014"	"2014"	"Rhode Island"	"44"	6445
	"2014"	"2014"	"South Carolina"	"45"	27336
	"2014"	"2014"	"South Dakota"	"46"	4704
	"2014"	"2014"	"Tennessee"	"47"	35930
	"2014"	"2014"	"Texas"	"48"	110426
	"2014"	"2014"	"Utah"	"49"	10408
	"2014"	"2014"	"Vermont"	"50"	3899
	"2014"	"2014"	"Virginia"	"51"	41084
	"2014"	"2014"	"Washington"	"53"	36746
	"2014"	"2014"	"West Virginia"	"54"	11734
	"2014"	"2014"	"Wisconsin"	"55"	33368
	"2014"	"2014"	"Wyoming"	"56"	2724
	"2014"	"2014"	"Puerto Rico"	"72"	16188
	"2015"	"2015"	"Alabama"	"01"	27254
	"2015"	"2015"	"Alaska"	"02"	2846
	"2015"	"2015"	"Arizona"	"04"	31827
	"2015"	"2015"	"Arkansas"	"05"	17396
	"2015"	"2015"	"California"	"06"	172776
	"2015"	"2015"	"Colorado"	"08"	23335
	"2015"	"2015"	"Connecticut"	"09"	21762
	"2015"	"2015"	"Delaware"	"10"	6098
	"2015"	"2015"	"District of Columbia"	"11"	2619
	"2015"	"2015"	"Florida"	"12"	115570
	"2015"	"2015"	"Georgia"	"13"	51242
	"2015"	"2015"	"Hawaii"	"15"	7435
	"2015"	"2015"	"Idaho"	"16"	8349
	"2015"	"2015"	"Illinois"	"17"	71012
	"2015"	"2015"	"Indiana"	"18"	35070
	"2015"	"2015"	"Iowa"	"19"	18406
	"2015"	"2015"	"Kansas"	"20"	15435
	"2015"	"2015"	"Kentucky"	"21"	27643
	"2015"	"2015"	"Louisiana"	"22"	25899
	"2015"	"2015"	"Maine"	"23"	8970
	"2015"	"2015"	"Maryland"	"24"	32063
	"2015"	"2015"	"Massachusetts"	"25"	38562
	"2015"	"2015"	"Michigan"	"26"	55058
	"2015"	"2015"	"Minnesota"	"27"	31223
	"2015"	"2015"	"Mississippi"	"28"	16254
	"2015"	"2015"	"Missouri"	"29"	33958
	"2015"	"2015"	"Montana"	"30"	6087
	"2015"	"2015"	"Nebraska"	"31"	10161
	"2015"	"2015"	"Nevada"	"32"	11774
	"2015"	"2015"	"New Hampshire"	"33"	8278
	"2015"	"2015"	"New Jersey"	"34"	53317
	"2015"	"2015"	"New Mexico"	"35"	9341
	"2015"	"2015"	"New York"	"36"	116939
	"2015"	"2015"	"North Carolina"	"37"	56189
	"2015"	"2015"	"North Dakota"	"38"	3849
	"2015"	"2015"	"Ohio"	"39"	67610
	"2015"	"2015"	"Oklahoma"	"40"	20306
	"2015"	"2015"	"Oregon"	"41"	20467
	"2015"	"2015"	"Pennsylvania"	"42"	82025
	"2015"	"2015"	"Rhode Island"	"44"	6170
	"2015"	"2015"	"South Carolina"	"45"	28206
	"2015"	"2015"	"South Dakota"	"46"	4535
	"2015"	"2015"	"Tennessee"	"47"	37277
	"2015"	"2015"	"Texas"	"48"	110700
	"2015"	"2015"	"Utah"	"49"	10694
	"2015"	"2015"	"Vermont"	"50"	3746
	"2015"	"2015"	"Virginia"	"51"	40044
	"2015"	"2015"	"Washington"	"53"	36767
	"2015"	"2015"	"West Virginia"	"54"	11826
	"2015"	"2015"	"Wisconsin"	"55"	33240
	"2015"	"2015"	"Wyoming"	"56"	2690
	"2015"	"2015"	"Puerto Rico"	"72"	16835
"---"
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2015 Incidence"
"Query Parameters:"
"Group By: Year; States and Puerto Rico"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Standard Population: 2000 U.S. Std. Million"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cancer-v2015.html for more information."
"---"
"Query Date: Aug 28, 2019 11:26:49 PM"
"---"
"Suggested Citation: United States Cancer Statistics: 1999 - 2015 Incidence, WONDER Online Database. United States Department of"
"Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute; 2018. Accessed at"
"http://wonder.cdc.gov/cancer-v2015.html on Aug 28, 2019 11:26:49 PM"
"---"
Messages:
"1. Rows with zero Count are hidden. Use Quick Options above to show zero rows."
"---"
Caveats:
"1. 'Missing' is displayed for a combination of states/territories/MSAs and years that did not meet the United States Cancer"
"Statistics (USCS) publication standard or did not allow permission for their data to be used."
"2. These states are missing data for the indicated year: Arkansas 1999-2000; Mississippi 1999-2002; South Dakota 1999-2000;"
"Puerto Rico 1999-2004."
"3. Data are from selected statewide and metropolitan area cancer registries that meet data quality criteria. Incidence data"
"shown for the United States are diagnoses and populations from included registries only."
"4. Information on primary site, behavior, and histology was coded according to the International Classification of Diseases for"
"Oncology, Third Edition (ICD-O-3) and categorized according to the revised SEER recodes dated January 27, 2003, which define"
"standard groupings of primary cancer sites."
"5. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and"
"Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for"
"these states, nor are these counts included in the summary populations for the affected division, regions or national"
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005."
