"Notes"	"Year"	"Year Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"2001"	"2001"	"Idaho"	"16"	5887
	"2001"	"2001"	"Illinois"	"17"	62920
	"2001"	"2001"	"Indiana"	"18"	30852
	"2001"	"2001"	"Iowa"	"19"	16629
	"2001"	"2001"	"Kansas"	"20"	13073
	"2001"	"2001"	"Kentucky"	"21"	22433
	"2001"	"2001"	"Louisiana"	"22"	21969
	"2001"	"2001"	"Maine"	"23"	8130
	"2001"	"2001"	"Maryland"	"24"	25520
	"2001"	"2001"	"Massachusetts"	"25"	36916
	"2001"	"2001"	"Michigan"	"26"	53736
	"2001"	"2001"	"Minnesota"	"27"	24409
	"2001"	"2001"	"Missouri"	"29"	29090
	"2001"	"2001"	"Montana"	"30"	5174
	"2001"	"2001"	"Nebraska"	"31"	8950
	"2001"	"2001"	"Nevada"	"32"	10155
	"2001"	"2001"	"New Hampshire"	"33"	6807
	"2001"	"2001"	"New Jersey"	"34"	50034
	"2001"	"2001"	"New Mexico"	"35"	7845
	"2001"	"2001"	"New York"	"36"	101547
	"2001"	"2001"	"North Carolina"	"37"	38530
	"2001"	"2001"	"North Dakota"	"38"	3329
	"2001"	"2001"	"Ohio"	"39"	59492
	"2001"	"2001"	"Oklahoma"	"40"	17259
	"2001"	"2001"	"Oregon"	"41"	18471
	"2001"	"2001"	"Pennsylvania"	"42"	76866
	"2001"	"2001"	"Rhode Island"	"44"	6363
	"2001"	"2001"	"South Carolina"	"45"	20368
	"2001"	"2001"	"South Dakota"	"46"	4025
	"2001"	"2001"	"Tennessee"	"47"	24146
	"2001"	"2001"	"Texas"	"48"	89960
	"2001"	"2001"	"Utah"	"49"	7235
	"2001"	"2001"	"Vermont"	"50"	3330
	"2001"	"2001"	"Virginia"	"51"	30086
	"2001"	"2001"	"Washington"	"53"	30400
	"2001"	"2001"	"West Virginia"	"54"	11213
	"2001"	"2001"	"Wisconsin"	"55"	28952
	"2001"	"2001"	"Wyoming"	"56"	2273
	"2002"	"2002"	"Alabama"	"01"	22122
	"2002"	"2002"	"Alaska"	"02"	2343
	"2002"	"2002"	"Arizona"	"04"	24109
	"2002"	"2002"	"Arkansas"	"05"	13658
	"2002"	"2002"	"California"	"06"	148651
	"2002"	"2002"	"Colorado"	"08"	18676
	"2002"	"2002"	"Connecticut"	"09"	20432
	"2002"	"2002"	"Delaware"	"10"	4521
	"2002"	"2002"	"District of Columbia"	"11"	3209
	"2002"	"2002"	"Florida"	"12"	107201
	"2002"	"2002"	"Georgia"	"13"	36771
	"2002"	"2002"	"Hawaii"	"15"	5899
	"2002"	"2002"	"Idaho"	"16"	6124
	"2002"	"2002"	"Illinois"	"17"	64255
	"2002"	"2002"	"Indiana"	"18"	31208
	"2002"	"2002"	"Iowa"	"19"	16769
	"2002"	"2002"	"Kansas"	"20"	13168
	"2002"	"2002"	"Kentucky"	"21"	22425
	"2002"	"2002"	"Louisiana"	"22"	22083
	"2002"	"2002"	"Maine"	"23"	8188
	"2002"	"2002"	"Maryland"	"24"	27325
	"2002"	"2002"	"Massachusetts"	"25"	37638
	"2002"	"2002"	"Michigan"	"26"	54749
	"2002"	"2002"	"Minnesota"	"27"	24573
	"2002"	"2002"	"Missouri"	"29"	29456
	"2002"	"2002"	"Montana"	"30"	5158
	"2002"	"2002"	"Nebraska"	"31"	9083
	"2002"	"2002"	"Nevada"	"32"	10571
	"2002"	"2002"	"New Hampshire"	"33"	7148
	"2002"	"2002"	"New Jersey"	"34"	49737
	"2002"	"2002"	"New Mexico"	"35"	8109
	"2002"	"2002"	"New York"	"36"	102681
	"2002"	"2002"	"North Carolina"	"37"	39181
	"2002"	"2002"	"North Dakota"	"38"	3375
	"2002"	"2002"	"Ohio"	"39"	59965
	"2002"	"2002"	"Oklahoma"	"40"	17794
	"2002"	"2002"	"Oregon"	"41"	18442
	"2002"	"2002"	"Pennsylvania"	"42"	76430
	"2002"	"2002"	"Rhode Island"	"44"	6429
	"2002"	"2002"	"South Carolina"	"45"	21594
	"2002"	"2002"	"South Dakota"	"46"	4427
	"2002"	"2002"	"Tennessee"	"47"	25032
	"2002"	"2002"	"Texas"	"48"	91232
	"2002"	"2002"	"Utah"	"49"	7381
	"2002"	"2002"	"Vermont"	"50"	3337
	"2002"	"2002"	"Virginia"	"51"	31830
	"2002"	"2002"	"Washington"	"53"	30719
	"2002"	"2002"	"West Virginia"	"54"	11051
	"2002"	"2002"	"Wisconsin"	"55"	28222
